id_person,cal_yr,age_grp,sex,sch_grp,weight
110,2021,15–19,M,C,408.72395204654435
111,2021,15–19,M,C,408.72395204654435
112,2021,15–19,M,C,408.72395204654435
113,2021,15–19,M,C,408.72395204654435
114,2021,15–19,M,C,408.72395204654435
115,2021,15–19,M,C,408.72395204654435
116,2021,15–19,M,C,408.72395204654435
117,2021,15–19,M,C,408.72395204654435
118,2021,15–19,M,C,408.72395204654435
119,2021,15–19,M,C,408.72395204654435
120,2021,15–19,M,C,408.72395204654435
121,2021,15–19,M,C,408.72395204654435
122,2021,15–19,M,C,408.72395204654435
123,2021,15–19,M,C,408.72395204654435
124,2021,15–19,M,C,408.72395204654435
125,2021,15–19,M,C,408.72395204654435
126,2021,15–19,M,C,408.72395204654435
127,2021,15–19,M,C,408.72395204654435
128,2021,15–19,M,C,408.72395204654435
129,2021,15–19,M,C,408.72395204654435
130,2021,15–19,M,C,408.72395204654435
131,2021,15–19,M,C,408.72395204654435
132,2021,15–19,M,C,408.72395204654435
133,2021,15–19,M,C,408.72395204654435
134,2021,15–19,M,C,408.72395204654435
135,2021,15–19,M,C,408.72395204654435
136,2021,15–19,M,C,408.72395204654435
137,2021,15–19,M,C,408.72395204654435
138,2021,15–19,M,C,408.72395204654435
139,2021,15–19,M,C,408.72395204654435
140,2021,15–19,M,C,408.72395204654435
141,2021,15–19,M,C,408.72395204654435
142,2021,15–19,M,C,408.72395204654435
143,2021,15–19,M,C,408.72395204654435
144,2021,15–19,M,C,408.72395204654435
145,2021,15–19,M,C,408.72395204654435
146,2021,15–19,M,C,408.72395204654435
147,2021,15–19,M,C,408.72395204654435
148,2021,15–19,M,C,408.72395204654435
149,2021,15–19,M,C,408.72395204654435
150,2021,15–19,M,C,408.72395204654435
151,2021,15–19,M,C,408.72395204654435
152,2021,15–19,M,C,408.72395204654435
153,2021,15–19,M,N,2209.9076269736843
154,2021,15–19,M,N,2209.9076269736843
155,2021,15–19,M,N,2209.9076269736843
156,2021,15–19,M,N,2209.9076269736843
157,2021,15–19,M,N,2209.9076269736843
158,2021,15–19,M,N,2209.9076269736843
159,2021,15–19,M,N,2209.9076269736843
160,2021,15–19,M,N,2209.9076269736843
161,2021,15–19,M,N,2209.9076269736843
162,2021,15–19,M,N,2209.9076269736843
163,2021,15–19,M,N,2209.9076269736843
164,2021,15–19,M,N,2209.9076269736843
165,2021,15–19,M,N,2209.9076269736843
166,2021,15–19,M,N,2209.9076269736843
167,2021,15–19,M,N,2209.9076269736843
168,2021,15–19,M,N,2209.9076269736843
169,2021,15–19,M,N,2209.9076269736843
170,2021,15–19,M,N,2209.9076269736843
171,2021,15–19,M,N,2209.9076269736843
172,2021,15–19,M,N,2209.9076269736843
173,2021,15–19,M,N,2209.9076269736843
174,2021,15–19,M,N,2209.9076269736843
175,2021,15–19,M,N,2209.9076269736843
176,2021,15–19,M,N,2209.9076269736843
177,2021,15–19,M,N,2209.9076269736843
178,2021,15–19,M,N,2209.9076269736843
179,2021,15–19,M,N,2209.9076269736843
180,2021,15–19,M,N,2209.9076269736843
181,2021,15–19,M,N,2209.9076269736843
182,2021,15–19,M,N,2209.9076269736843
183,2021,15–19,M,N,2209.9076269736843
184,2021,15–19,M,N,2209.9076269736843
185,2021,15–19,M,N,2209.9076269736843
186,2021,15–19,M,N,2209.9076269736843
187,2021,15–19,M,N,2209.9076269736843
188,2021,15–19,M,N,2209.9076269736843
189,2021,15–19,M,N,2209.9076269736843
190,2021,15–19,M,N,2209.9076269736843
191,2021,15–19,M,N,2209.9076269736843
192,2021,15–19,M,N,2209.9076269736843
193,2021,15–19,M,N,2209.9076269736843
194,2021,15–19,M,N,2209.9076269736843
195,2021,15–19,M,N,2209.9076269736843
196,2021,15–19,M,N,2209.9076269736843
197,2021,15–19,M,N,2209.9076269736843
198,2021,15–19,M,N,2209.9076269736843
199,2021,15–19,M,N,2209.9076269736843
200,2021,15–19,M,N,2209.9076269736843
201,2021,15–19,M,N,2209.9076269736843
202,2021,15–19,M,N,2209.9076269736843
203,2021,15–19,M,N,2209.9076269736843
204,2021,15–19,M,N,2209.9076269736843
205,2021,15–19,M,N,2209.9076269736843
206,2021,15–19,M,N,2209.9076269736843
207,2021,15–19,M,N,2209.9076269736843
208,2021,15–19,M,N,2209.9076269736843
209,2021,15–19,M,N,2209.9076269736843
210,2021,15–19,M,N,2209.9076269736843
211,2021,15–19,M,N,2209.9076269736843
212,2021,15–19,M,N,2209.9076269736843
213,2021,15–19,M,N,2209.9076269736843
214,2021,15–19,M,N,2209.9076269736843
215,2021,15–19,M,N,2209.9076269736843
216,2021,15–19,M,N,2209.9076269736843
217,2021,15–19,M,N,2209.9076269736843
218,2021,15–19,M,N,2209.9076269736843
219,2021,15–19,M,N,2209.9076269736843
220,2021,15–19,M,N,2209.9076269736843
221,2021,15–19,M,N,2209.9076269736843
222,2021,15–19,M,N,2209.9076269736843
223,2021,15–19,M,N,2209.9076269736843
224,2021,15–19,M,N,2209.9076269736843
225,2021,15–19,M,N,2209.9076269736843
226,2021,15–19,M,N,2209.9076269736843
227,2021,15–19,M,N,2209.9076269736843
228,2021,15–19,M,N,2209.9076269736843
229,2021,15–19,M,N,2209.9076269736843
230,2021,15–19,M,N,2209.9076269736843
231,2021,15–19,M,N,2209.9076269736843
232,2021,15–19,M,N,2209.9076269736843
233,2021,15–19,M,N,2209.9076269736843
234,2021,15–19,M,N,2209.9076269736843
235,2021,15–19,M,N,2209.9076269736843
236,2021,15–19,M,N,2209.9076269736843
237,2021,15–19,M,N,2209.9076269736843
238,2021,15–19,M,N,2209.9076269736843
239,2021,15–19,M,N,2209.9076269736843
240,2021,15–19,M,N,2209.9076269736843
241,2021,15–19,M,N,2209.9076269736843
242,2021,15–19,M,N,2209.9076269736843
243,2021,15–19,M,N,2209.9076269736843
244,2021,15–19,M,N,2209.9076269736843
245,2021,15–19,M,N,2209.9076269736843
246,2021,15–19,M,N,2209.9076269736843
247,2021,15–19,M,N,2209.9076269736843
248,2021,15–19,M,N,2209.9076269736843
249,2021,15–19,M,N,2209.9076269736843
250,2021,15–19,M,N,2209.9076269736843
251,2021,15–19,M,N,2209.9076269736843
252,2021,15–19,M,N,2209.9076269736843
253,2021,15–19,M,N,2209.9076269736843
254,2021,15–19,M,N,2209.9076269736843
255,2021,15–19,M,N,2209.9076269736843
256,2021,15–19,M,N,2209.9076269736843
257,2021,15–19,M,N,2209.9076269736843
258,2021,15–19,M,N,2209.9076269736843
259,2021,15–19,M,N,2209.9076269736843
260,2021,15–19,M,N,2209.9076269736843
261,2021,15–19,M,N,2209.9076269736843
262,2021,15–19,M,N,2209.9076269736843
263,2021,15–19,M,N,2209.9076269736843
264,2021,15–19,M,N,2209.9076269736843
265,2021,15–19,M,N,2209.9076269736843
266,2021,15–19,M,N,2209.9076269736843
267,2021,15–19,M,N,2209.9076269736843
268,2021,15–19,M,N,2209.9076269736843
269,2021,15–19,M,N,2209.9076269736843
270,2021,15–19,M,N,2209.9076269736843
271,2021,15–19,M,N,2209.9076269736843
272,2021,15–19,M,N,2209.9076269736843
273,2021,15–19,M,N,2209.9076269736843
274,2021,15–19,M,N,2209.9076269736843
275,2021,15–19,M,N,2209.9076269736843
276,2021,15–19,M,N,2209.9076269736843
277,2021,15–19,M,N,2209.9076269736843
278,2021,15–19,M,N,2209.9076269736843
279,2021,15–19,M,N,2209.9076269736843
280,2021,15–19,M,N,2209.9076269736843
281,2021,15–19,M,N,2209.9076269736843
282,2021,15–19,M,N,2209.9076269736843
283,2021,15–19,M,N,2209.9076269736843
284,2021,15–19,M,N,2209.9076269736843
285,2021,15–19,M,N,2209.9076269736843
286,2021,15–19,M,N,2209.9076269736843
287,2021,15–19,M,N,2209.9076269736843
288,2021,15–19,M,N,2209.9076269736843
289,2021,15–19,M,N,2209.9076269736843
290,2021,15–19,M,N,2209.9076269736843
291,2021,15–19,M,N,2209.9076269736843
292,2021,15–19,M,N,2209.9076269736843
293,2021,15–19,M,N,2209.9076269736843
294,2021,15–19,M,N,2209.9076269736843
295,2021,15–19,M,N,2209.9076269736843
296,2021,15–19,M,N,2209.9076269736843
297,2021,15–19,M,N,2209.9076269736843
298,2021,15–19,M,N,2209.9076269736843
299,2021,15–19,M,N,2209.9076269736843
300,2021,15–19,M,N,2209.9076269736843
301,2021,15–19,M,N,2209.9076269736843
302,2021,15–19,M,N,2209.9076269736843
303,2021,15–19,M,N,2209.9076269736843
304,2021,15–19,M,N,2209.9076269736843
305,2021,20–24,M,C,409.8668538146218
306,2021,20–24,M,C,409.8668538146218
307,2021,20–24,M,C,409.8668538146218
308,2021,20–24,M,C,409.8668538146218
309,2021,20–24,M,C,409.8668538146218
310,2021,20–24,M,C,409.8668538146218
311,2021,20–24,M,C,409.8668538146218
312,2021,20–24,M,C,409.8668538146218
313,2021,20–24,M,C,409.8668538146218
314,2021,20–24,M,C,409.8668538146218
315,2021,20–24,M,C,409.8668538146218
316,2021,20–24,M,C,409.8668538146218
317,2021,20–24,M,C,409.8668538146218
318,2021,20–24,M,C,409.8668538146218
319,2021,20–24,M,C,409.8668538146218
320,2021,20–24,M,C,409.8668538146218
321,2021,20–24,M,C,409.8668538146218
322,2021,20–24,M,C,409.8668538146218
323,2021,20–24,M,C,409.8668538146218
324,2021,20–24,M,C,409.8668538146218
325,2021,20–24,M,C,409.8668538146218
326,2021,20–24,M,C,409.8668538146218
327,2021,20–24,M,C,409.8668538146218
328,2021,20–24,M,C,409.8668538146218
329,2021,20–24,M,C,409.8668538146218
330,2021,20–24,M,C,409.8668538146218
331,2021,20–24,M,C,409.8668538146218
332,2021,20–24,M,C,409.8668538146218
333,2021,20–24,M,C,409.8668538146218
334,2021,20–24,M,C,409.8668538146218
335,2021,20–24,M,C,409.8668538146218
336,2021,20–24,M,C,409.8668538146218
337,2021,20–24,M,C,409.8668538146218
338,2021,20–24,M,C,409.8668538146218
339,2021,20–24,M,C,409.8668538146218
340,2021,20–24,M,C,409.8668538146218
341,2021,20–24,M,C,409.8668538146218
342,2021,20–24,M,C,409.8668538146218
343,2021,20–24,M,C,409.8668538146218
344,2021,20–24,M,C,409.8668538146218
345,2021,20–24,M,C,409.8668538146218
346,2021,20–24,M,C,409.8668538146218
347,2021,20–24,M,C,409.8668538146218
348,2021,20–24,M,C,409.8668538146218
349,2021,20–24,M,C,409.8668538146218
350,2021,20–24,M,C,409.8668538146218
351,2021,20–24,M,C,409.8668538146218
352,2021,20–24,M,C,409.8668538146218
353,2021,20–24,M,C,409.8668538146218
354,2021,20–24,M,C,409.8668538146218
355,2021,20–24,M,C,409.8668538146218
356,2021,20–24,M,C,409.8668538146218
357,2021,20–24,M,C,409.8668538146218
358,2021,20–24,M,C,409.8668538146218
359,2021,20–24,M,C,409.8668538146218
360,2021,20–24,M,C,409.8668538146218
361,2021,20–24,M,C,409.8668538146218
362,2021,20–24,M,C,409.8668538146218
363,2021,20–24,M,C,409.8668538146218
364,2021,20–24,M,C,409.8668538146218
365,2021,20–24,M,C,409.8668538146218
366,2021,20–24,M,C,409.8668538146218
367,2021,20–24,M,C,409.8668538146218
368,2021,20–24,M,C,409.8668538146218
369,2021,20–24,M,C,409.8668538146218
370,2021,20–24,M,C,409.8668538146218
371,2021,20–24,M,C,409.8668538146218
372,2021,20–24,M,C,409.8668538146218
373,2021,20–24,M,C,409.8668538146218
374,2021,20–24,M,C,409.8668538146218
375,2021,20–24,M,C,409.8668538146218
376,2021,20–24,M,C,409.8668538146218
377,2021,20–24,M,C,409.8668538146218
378,2021,20–24,M,C,409.8668538146218
379,2021,20–24,M,C,409.8668538146218
380,2021,20–24,M,C,409.8668538146218
381,2021,20–24,M,C,409.8668538146218
382,2021,20–24,M,C,409.8668538146218
383,2021,20–24,M,C,409.8668538146218
384,2021,20–24,M,C,409.8668538146218
385,2021,20–24,M,C,409.8668538146218
386,2021,20–24,M,C,409.8668538146218
387,2021,20–24,M,C,409.8668538146218
388,2021,20–24,M,C,409.8668538146218
389,2021,20–24,M,C,409.8668538146218
390,2021,20–24,M,C,409.8668538146218
391,2021,20–24,M,C,409.8668538146218
392,2021,20–24,M,C,409.8668538146218
393,2021,20–24,M,C,409.8668538146218
394,2021,20–24,M,C,409.8668538146218
395,2021,20–24,M,C,409.8668538146218
396,2021,20–24,M,C,409.8668538146218
397,2021,20–24,M,C,409.8668538146218
398,2021,20–24,M,C,409.8668538146218
399,2021,20–24,M,C,409.8668538146218
400,2021,20–24,M,C,409.8668538146218
401,2021,20–24,M,C,409.8668538146218
402,2021,20–24,M,C,409.8668538146218
403,2021,20–24,M,C,409.8668538146218
404,2021,20–24,M,C,409.8668538146218
405,2021,20–24,M,C,409.8668538146218
406,2021,20–24,M,C,409.8668538146218
407,2021,20–24,M,C,409.8668538146218
408,2021,20–24,M,C,409.8668538146218
409,2021,20–24,M,C,409.8668538146218
410,2021,20–24,M,C,409.8668538146218
411,2021,20–24,M,C,409.8668538146218
412,2021,20–24,M,C,409.8668538146218
413,2021,20–24,M,C,409.8668538146218
414,2021,20–24,M,C,409.8668538146218
415,2021,20–24,M,C,409.8668538146218
416,2021,20–24,M,C,409.8668538146218
417,2021,20–24,M,C,409.8668538146218
418,2021,20–24,M,C,409.8668538146218
419,2021,20–24,M,C,409.8668538146218
420,2021,20–24,M,C,409.8668538146218
421,2021,20–24,M,C,409.8668538146218
422,2021,20–24,M,C,409.8668538146218
423,2021,20–24,M,C,409.8668538146218
424,2021,20–24,M,C,409.8668538146218
425,2021,20–24,M,C,409.8668538146218
426,2021,20–24,M,C,409.8668538146218
427,2021,20–24,M,C,409.8668538146218
428,2021,20–24,M,C,409.8668538146218
429,2021,20–24,M,C,409.8668538146218
430,2021,20–24,M,C,409.8668538146218
431,2021,20–24,M,C,409.8668538146218
432,2021,20–24,M,C,409.8668538146218
433,2021,20–24,M,C,409.8668538146218
434,2021,20–24,M,C,409.8668538146218
435,2021,20–24,M,C,409.8668538146218
436,2021,20–24,M,C,409.8668538146218
437,2021,20–24,M,C,409.8668538146218
438,2021,20–24,M,C,409.8668538146218
439,2021,20–24,M,C,409.8668538146218
440,2021,20–24,M,C,409.8668538146218
441,2021,20–24,M,C,409.8668538146218
442,2021,20–24,M,C,409.8668538146218
443,2021,20–24,M,C,409.8668538146218
444,2021,20–24,M,C,409.8668538146218
445,2021,20–24,M,C,409.8668538146218
446,2021,20–24,M,C,409.8668538146218
447,2021,20–24,M,C,409.8668538146218
448,2021,20–24,M,C,409.8668538146218
449,2021,20–24,M,C,409.8668538146218
450,2021,20–24,M,C,409.8668538146218
451,2021,20–24,M,C,409.8668538146218
452,2021,20–24,M,C,409.8668538146218
453,2021,20–24,M,C,409.8668538146218
454,2021,20–24,M,C,409.8668538146218
455,2021,20–24,M,C,409.8668538146218
456,2021,20–24,M,C,409.8668538146218
457,2021,20–24,M,C,409.8668538146218
458,2021,20–24,M,C,409.8668538146218
459,2021,20–24,M,C,409.8668538146218
460,2021,20–24,M,C,409.8668538146218
461,2021,20–24,M,C,409.8668538146218
462,2021,20–24,M,C,409.8668538146218
463,2021,20–24,M,C,409.8668538146218
464,2021,20–24,M,C,409.8668538146218
465,2021,20–24,M,C,409.8668538146218
466,2021,20–24,M,C,409.8668538146218
467,2021,20–24,M,C,409.8668538146218
468,2021,20–24,M,C,409.8668538146218
469,2021,20–24,M,C,409.8668538146218
470,2021,20–24,M,C,409.8668538146218
471,2021,20–24,M,C,409.8668538146218
472,2021,20–24,M,C,409.8668538146218
473,2021,20–24,M,C,409.8668538146218
474,2021,20–24,M,C,409.8668538146218
475,2021,20–24,M,C,409.8668538146218
476,2021,20–24,M,C,409.8668538146218
477,2021,20–24,M,C,409.8668538146218
478,2021,20–24,M,C,409.8668538146218
479,2021,20–24,M,C,409.8668538146218
480,2021,20–24,M,C,409.8668538146218
481,2021,20–24,M,C,409.8668538146218
482,2021,20–24,M,C,409.8668538146218
483,2021,20–24,M,C,409.8668538146218
484,2021,20–24,M,C,409.8668538146218
485,2021,20–24,M,C,409.8668538146218
486,2021,20–24,M,C,409.8668538146218
487,2021,20–24,M,C,409.8668538146218
488,2021,20–24,M,C,409.8668538146218
489,2021,20–24,M,C,409.8668538146218
490,2021,20–24,M,C,409.8668538146218
491,2021,20–24,M,C,409.8668538146218
492,2021,20–24,M,C,409.8668538146218
493,2021,20–24,M,C,409.8668538146218
494,2021,20–24,M,C,409.8668538146218
495,2021,20–24,M,C,409.8668538146218
496,2021,20–24,M,C,409.8668538146218
497,2021,20–24,M,C,409.8668538146218
498,2021,20–24,M,C,409.8668538146218
499,2021,20–24,M,C,409.8668538146218
500,2021,20–24,M,C,409.8668538146218
501,2021,20–24,M,C,409.8668538146218
502,2021,20–24,M,C,409.8668538146218
503,2021,20–24,M,C,409.8668538146218
504,2021,20–24,M,C,409.8668538146218
505,2021,20–24,M,C,409.8668538146218
506,2021,20–24,M,C,409.8668538146218
507,2021,20–24,M,C,409.8668538146218
508,2021,20–24,M,C,409.8668538146218
509,2021,20–24,M,C,409.8668538146218
510,2021,20–24,M,C,409.8668538146218
511,2021,20–24,M,C,409.8668538146218
512,2021,20–24,M,C,409.8668538146218
513,2021,20–24,M,C,409.8668538146218
514,2021,20–24,M,C,409.8668538146218
515,2021,20–24,M,C,409.8668538146218
516,2021,20–24,M,C,409.8668538146218
517,2021,20–24,M,C,409.8668538146218
518,2021,20–24,M,C,409.8668538146218
519,2021,20–24,M,C,409.8668538146218
520,2021,20–24,M,C,409.8668538146218
521,2021,20–24,M,C,409.8668538146218
522,2021,20–24,M,C,409.8668538146218
523,2021,20–24,M,C,409.8668538146218
524,2021,20–24,M,C,409.8668538146218
525,2021,20–24,M,C,409.8668538146218
526,2021,20–24,M,C,409.8668538146218
527,2021,20–24,M,C,409.8668538146218
528,2021,20–24,M,C,409.8668538146218
529,2021,20–24,M,C,409.8668538146218
530,2021,20–24,M,C,409.8668538146218
531,2021,20–24,M,C,409.8668538146218
532,2021,20–24,M,C,409.8668538146218
533,2021,20–24,M,C,409.8668538146218
534,2021,20–24,M,C,409.8668538146218
535,2021,20–24,M,C,409.8668538146218
536,2021,20–24,M,C,409.8668538146218
537,2021,20–24,M,C,409.8668538146218
538,2021,20–24,M,C,409.8668538146218
539,2021,20–24,M,C,409.8668538146218
540,2021,20–24,M,C,409.8668538146218
541,2021,20–24,M,C,409.8668538146218
542,2021,20–24,M,C,409.8668538146218
543,2021,20–24,M,C,409.8668538146218
544,2021,20–24,M,N,2216.087120920502
545,2021,20–24,M,N,2216.087120920502
546,2021,20–24,M,N,2216.087120920502
547,2021,20–24,M,N,2216.087120920502
548,2021,20–24,M,N,2216.087120920502
549,2021,20–24,M,N,2216.087120920502
550,2021,20–24,M,N,2216.087120920502
551,2021,20–24,M,N,2216.087120920502
552,2021,20–24,M,N,2216.087120920502
553,2021,20–24,M,N,2216.087120920502
554,2021,20–24,M,N,2216.087120920502
555,2021,20–24,M,N,2216.087120920502
556,2021,20–24,M,N,2216.087120920502
557,2021,20–24,M,N,2216.087120920502
558,2021,20–24,M,N,2216.087120920502
559,2021,20–24,M,N,2216.087120920502
560,2021,20–24,M,N,2216.087120920502
561,2021,20–24,M,N,2216.087120920502
562,2021,20–24,M,N,2216.087120920502
563,2021,20–24,M,N,2216.087120920502
564,2021,20–24,M,N,2216.087120920502
565,2021,20–24,M,N,2216.087120920502
566,2021,20–24,M,N,2216.087120920502
567,2021,20–24,M,N,2216.087120920502
568,2021,20–24,M,N,2216.087120920502
569,2021,20–24,M,N,2216.087120920502
570,2021,20–24,M,N,2216.087120920502
571,2021,20–24,M,N,2216.087120920502
572,2021,20–24,M,N,2216.087120920502
573,2021,20–24,M,N,2216.087120920502
574,2021,20–24,M,N,2216.087120920502
575,2021,20–24,M,N,2216.087120920502
576,2021,20–24,M,N,2216.087120920502
577,2021,20–24,M,N,2216.087120920502
578,2021,20–24,M,N,2216.087120920502
579,2021,20–24,M,N,2216.087120920502
580,2021,20–24,M,N,2216.087120920502
581,2021,20–24,M,N,2216.087120920502
582,2021,20–24,M,N,2216.087120920502
583,2021,20–24,M,N,2216.087120920502
584,2021,20–24,M,N,2216.087120920502
585,2021,20–24,M,N,2216.087120920502
586,2021,20–24,M,N,2216.087120920502
587,2021,20–24,M,N,2216.087120920502
588,2021,20–24,M,N,2216.087120920502
589,2021,20–24,M,N,2216.087120920502
590,2021,20–24,M,N,2216.087120920502
591,2021,20–24,M,N,2216.087120920502
592,2021,20–24,M,N,2216.087120920502
593,2021,20–24,M,N,2216.087120920502
594,2021,20–24,M,N,2216.087120920502
595,2021,20–24,M,N,2216.087120920502
596,2021,20–24,M,N,2216.087120920502
597,2021,20–24,M,N,2216.087120920502
598,2021,20–24,M,N,2216.087120920502
599,2021,20–24,M,N,2216.087120920502
600,2021,20–24,M,N,2216.087120920502
601,2021,20–24,M,N,2216.087120920502
602,2021,20–24,M,N,2216.087120920502
603,2021,20–24,M,N,2216.087120920502
604,2021,20–24,M,N,2216.087120920502
605,2021,20–24,M,N,2216.087120920502
606,2021,20–24,M,N,2216.087120920502
607,2021,20–24,M,N,2216.087120920502
608,2021,20–24,M,N,2216.087120920502
609,2021,20–24,M,N,2216.087120920502
610,2021,20–24,M,N,2216.087120920502
611,2021,20–24,M,N,2216.087120920502
612,2021,20–24,M,N,2216.087120920502
613,2021,20–24,M,N,2216.087120920502
614,2021,20–24,M,N,2216.087120920502
615,2021,20–24,M,N,2216.087120920502
616,2021,20–24,M,N,2216.087120920502
617,2021,20–24,M,N,2216.087120920502
618,2021,20–24,M,N,2216.087120920502
619,2021,20–24,M,N,2216.087120920502
620,2021,20–24,M,N,2216.087120920502
621,2021,20–24,M,N,2216.087120920502
622,2021,20–24,M,N,2216.087120920502
623,2021,20–24,M,N,2216.087120920502
624,2021,20–24,M,N,2216.087120920502
625,2021,20–24,M,N,2216.087120920502
626,2021,20–24,M,N,2216.087120920502
627,2021,20–24,M,N,2216.087120920502
628,2021,20–24,M,N,2216.087120920502
629,2021,20–24,M,N,2216.087120920502
630,2021,20–24,M,N,2216.087120920502
631,2021,20–24,M,N,2216.087120920502
632,2021,20–24,M,N,2216.087120920502
633,2021,20–24,M,N,2216.087120920502
634,2021,20–24,M,N,2216.087120920502
635,2021,20–24,M,N,2216.087120920502
636,2021,20–24,M,N,2216.087120920502
637,2021,20–24,M,N,2216.087120920502
638,2021,20–24,M,N,2216.087120920502
639,2021,20–24,M,N,2216.087120920502
640,2021,20–24,M,N,2216.087120920502
641,2021,20–24,M,N,2216.087120920502
642,2021,20–24,M,N,2216.087120920502
643,2021,20–24,M,N,2216.087120920502
644,2021,20–24,M,N,2216.087120920502
645,2021,20–24,M,N,2216.087120920502
646,2021,20–24,M,N,2216.087120920502
647,2021,20–24,M,N,2216.087120920502
648,2021,20–24,M,N,2216.087120920502
649,2021,20–24,M,N,2216.087120920502
650,2021,20–24,M,N,2216.087120920502
651,2021,20–24,M,N,2216.087120920502
652,2021,20–24,M,N,2216.087120920502
653,2021,20–24,M,N,2216.087120920502
654,2021,20–24,M,N,2216.087120920502
655,2021,20–24,M,N,2216.087120920502
656,2021,20–24,M,N,2216.087120920502
